Name,Age,Nationality,Club,Value,Preferred_Foot,Jersey_Number,Height,Weight,Best_Position,Contract_Valid_Until,name_coach,avg_term_as_coach
21 D. Franchi,17,Italy,Paris SG,€500K,Right,50,189cm,71kg,GK,2023,Mauricio Pochettino,2.93 Years
21 O. Nkambadio,17,France,Paris SG,€450K,Right,16,185cm,78kg,GK,2023,Mauricio Pochettino,2.93 Years
E. Can,27,Germany,Bor. Dortmund,€35M,Right,23,186cm,86kg,CDM,2024,Marco Rose,1.50 Years
R. Guerreiro,27,Portugal,Bor. Dortmund,€40.5M,Left,13,170cm,71kg,LB,2023,Marco Rose,1.50 Years
A. Witsel,32,Belgium,Bor. Dortmund,€24M,Right,28,186cm,81kg,CDM,2022,Marco Rose,1.50 Years
M. Reus,32,Germany,Bor. Dortmund,€43M,Right,11,180cm,71kg,CAM,2023,Marco Rose,1.50 Years
E. Haaland,20,Norway,Bor. Dortmund,€137.5M,Left,9,194cm,94kg,ST,2024,Marco Rose,1.50 Years
T. Hazard,28,Belgium,Bor. Dortmund,€30.5M,Right,10,175cm,71kg,LM,2024,Marco Rose,1.50 Years
J. Bellingham,18,England,Bor. Dortmund,€37M,Right,22,186cm,75kg,CM,2025,Marco Rose,1.50 Years
T. Meunier,29,Belgium,Bor. Dortmund,€9.5M,Right,24,191cm,90kg,RB,2024,Marco Rose,1.50 Years
M. Dahoud,25,Germany,Bor. Dortmund,€23M,Right,8,178cm,68kg,CM,2023,Marco Rose,1.50 Years
21 L. Piszczek,35,Poland,Bor. Dortmund,€3.2M,Right,26,184cm,79kg,RB,2021,Marco Rose,1.50 Years
M. Hummels,32,Germany,Bor. Dortmund,€44M,Right,15,191cm,96kg,CB,2023,Marco Rose,1.50 Years
M. Wolf,26,Germany,Bor. Dortmund,€6.5M,Right,39,188cm,81kg,RM,2024,Marco Rose,1.50 Years
J. Brandt,25,Germany,Bor. Dortmund,€36M,Right,19,185cm,83kg,CAM,2024,Marco Rose,1.50 Years
D. Malen,22,Netherlands,Bor. Dortmund,€33M,Right,21,179cm,78kg,ST,2026,Marco Rose,1.50 Years
N. Schulz,28,Germany,Bor. Dortmund,€9.5M,Left,14,181cm,83kg,LB,2024,Marco Rose,1.50 Years
F. Passlack,23,Germany,Bor. Dortmund,€2.4M,Right,30,170cm,74kg,RWB,2023,Marco Rose,1.50 Years
15 S. Kehl,34,Germany,Bor. Dortmund,€1.9M,Left,5,188cm,80kg,CDM,2015,Marco Rose,1.50 Years
M. Akanji,25,Switzerland,Bor. Dortmund,€25M,Right,16,187cm,91kg,CB,2023,Marco Rose,1.50 Years
G. Reyna,18,United States,Bor. Dortmund,€22M,Right,7,185cm,79kg,CAM,2025,Marco Rose,1.50 Years
M. Schmelzer,33,Germany,Bor. Dortmund,€975K,Left,29,180cm,74kg,CB,2022,Marco Rose,1.50 Years
Reinier,19,Brazil,Bor. Dortmund,€4.5M,Right,20,185cm,82kg,CAM,30-Jun-22,Marco Rose,1.50 Years
Mateu Morey,21,Spain,Bor. Dortmund,€6.5M,Right,2,173cm,67kg,RWB,2024,Marco Rose,1.50 Years
T. Raschl,21,Germany,Bor. Dortmund,€1.6M,Right,37,177cm,75kg,CAM,2022,Marco Rose,1.50 Years
K. Finnsson,21,Iceland,Bor. Dortmund,€525K,Right,20,181cm,77kg,CB,2022,Marco Rose,1.50 Years
M. Hober,25,Germany,Bor. Dortmund,€525K,Left,8,172cm,70kg,LM,2023,Marco Rose,1.50 Years
R. Tachie,22,Germany,Bor. Dortmund,€750K,Right,11,177cm,70kg,RM,2022,Marco Rose,1.50 Years
M. Pašalić,20,Croatia,Bor. Dortmund,€1.3M,Left,7,177cm,74kg,LM,2023,Marco Rose,1.50 Years
D. Zagadou,22,France,Bor. Dortmund,€20.5M,Left,5,196cm,90kg,CB,2022,Marco Rose,1.50 Years
F. Pfanne,26,Germany,Bor. Dortmund,€525K,Right,23,187cm,82kg,CB,2024,Marco Rose,1.50 Years
L. Maloney,21,Germany,Bor. Dortmund,€1.2M,Right,4,187cm,89kg,CB,2022,Marco Rose,1.50 Years
S. Tigges,22,Germany,Bor. Dortmund,€1.8M,Left,27,193cm,90kg,ST,2024,Marco Rose,1.50 Years
A. Knauff,19,Germany,Bor. Dortmund,€2.4M,Right,36,180cm,73kg,RM,2023,Marco Rose,1.50 Years
K. Bafounta,19,France,Bor. Dortmund,€600K,Right,13,192cm,87kg,CDM,2022,Marco Rose,1.50 Years
I. Pherai,20,Netherlands,Bor. Dortmund,€1.9M,Right,28,175cm,74kg,CAM,2022,Marco Rose,1.50 Years
B. Taz,22,Germany,Bor. Dortmund,€1.1M,Right,10,175cm,72kg,CAM,2022,Marco Rose,1.50 Years
21 D. Wanner,21,Germany,Bor. Dortmund,€725K,Left,39,176cm,71kg,LM,2021,Marco Rose,1.50 Years
M. Pongračić,23,Croatia,Bor. Dortmund,€8M,Right,34,190cm,95kg,CB,30-Jun-22,Marco Rose,1.50 Years
C. Viet,22,Germany,Bor. Dortmund,€750K,Right,21,183cm,78kg,CDM,30-Jun-22,Marco Rose,1.50 Years
N. Dams,31,Germany,Bor. Dortmund,€500K,Right,30,184cm,78kg,CB,2022,Marco Rose,1.50 Years
H. Bah-Traoré,24,Germany,Bor. Dortmund,€425K,Right,2,175cm,77kg,RB,2022,Marco Rose,1.50 Years
A. Papadopoulos,21,Germany,Bor. Dortmund,€1.2M,Right,18,185cm,83kg,CB,2023,Marco Rose,1.50 Years
O. Pohlmann,20,Germany,Bor. Dortmund,€725K,Right,19,183cm,80kg,RM,2023,Marco Rose,1.50 Years
G. Gürpüz,18,Turkey,Bor. Dortmund,€425K,Right,42,175cm,65kg,CAM,2022,Marco Rose,1.50 Years
A. Thaqi,19,Germany,Bor. Dortmund,€550K,Right,16,185cm,84kg,CB,2022,Marco Rose,1.50 Years
C. Makreckis,21,Latvia,Bor. Dortmund,€450K,Right,27,181cm,71kg,RM,2022,Marco Rose,1.50 Years
F. Krebs,22,Germany,Bor. Dortmund,€450K,Right,24,188cm,71kg,CM,2022,Marco Rose,1.50 Years
M. Broschinski,20,Germany,Bor. Dortmund,€600K,Right,33,190cm,77kg,ST,2022,Marco Rose,1.50 Years
S. Coulibaly,17,France,Bor. Dortmund,€850K,Left,4,190cm,82kg,CB,2026,Marco Rose,1.50 Years
M. Amedick,19,Germany,Bor. Dortmund,€450K,Right,22,184cm,79kg,CB,2022,Marco Rose,1.50 Years
T. Bornemann,20,Germany,Bor. Dortmund,€500K,Right,17,184cm,83kg,ST,2023,Marco Rose,1.50 Years
Guille Bueno,18,Spain,Bor. Dortmund,€275K,Left,3,178cm,73kg,LWB,2024,Marco Rose,1.50 Years
T. Tattermusch,20,Germany,Bor. Dortmund,€375K,Right,9,194cm,89kg,ST,2024,Marco Rose,1.50 Years
N. Collins,17,Germany,Bor. Dortmund,€725K,Right,41,188cm,81kg,CB,2023,Marco Rose,1.50 Years
R. Bürki,30,Switzerland,Bor. Dortmund,€14M,Right,38,187cm,85kg,GK,2023,Marco Rose,1.50 Years
M. Hitz,33,Switzerland,Bor. Dortmund,€4.6M,Right,35,194cm,89kg,GK,2023,Marco Rose,1.50 Years
G. Kobel,23,Switzerland,Bor. Dortmund,€21.5M,Right,1,195cm,88kg,GK,2026,Marco Rose,1.50 Years
L. Unbehaun,20,Germany,Bor. Dortmund,€1.2M,Right,25,185cm,82kg,GK,2022,Marco Rose,1.50 Years
18 R. Weidenfeller,36,Germany,Bor. Dortmund,€900K,Left,1,190cm,90kg,GK,2018,Marco Rose,1.50 Years
S. Drljača,22,Germany,Bor. Dortmund,€775K,Right,40,192cm,92kg,GK,2022,Marco Rose,1.50 Years
J. Reckert,24,Germany,Bor. Dortmund,€400K,Right,1,188cm,92kg,GK,2022,Marco Rose,1.50 Years
L. Klußmann,18,Germany,Bor. Dortmund,€240K,Right,35,187cm,84kg,GK,2022,Marco Rose,1.50 Years
L. Modrić,35,Croatia,Real Madrid,€32M,Right,10,172cm,66kg,CM,2022,Carlo Ancelotti,2.09 Years
D. Alaba,29,Austria,Real Madrid,€35.5M,Left,4,180cm,78kg,CB,2026,Carlo Ancelotti,2.09 Years
Casemiro,29,Brazil,Real Madrid,€88M,Right,14,185cm,84kg,CDM,2025,Carlo Ancelotti,2.09 Years
G. Bale,31,Wales,Real Madrid,€25M,Left,18,185cm,82kg,RM,2022,Carlo Ancelotti,2.09 Years
F. Valverde,22,Uruguay,Real Madrid,€58M,Right,15,182cm,78kg,CM,2027,Carlo Ancelotti,2.09 Years
Marcelo,33,Brazil,Real Madrid,€11M,Left,12,174cm,75kg,CAM,2022,Carlo Ancelotti,2.09 Years
T. Kroos,31,Germany,Real Madrid,€75M,Right,8,183cm,76kg,CM,2023,Carlo Ancelotti,2.09 Years
F. Mendy,26,France,Real Madrid,€43.5M,Left,23,180cm,73kg,LWB,2025,Carlo Ancelotti,2.09 Years
Lucas Vázquez,30,Spain,Real Madrid,€25M,Right,17,173cm,70kg,RW,2024,Carlo Ancelotti,2.09 Years
Carvajal,29,Spain,Real Madrid,€47.5M,Right,2,173cm,73kg,RB,2025,Carlo Ancelotti,2.09 Years
K. Benzema,33,France,Real Madrid,€66M,Right,9,185cm,81kg,CF,2023,Carlo Ancelotti,2.09 Years
E. Camavinga,18,France,Real Madrid,€29.5M,Left,25,182cm,68kg,CM,2027,Carlo Ancelotti,2.09 Years
Isco,29,Spain,Real Madrid,€30M,Right,22,176cm,79kg,CAM,2022,Carlo Ancelotti,2.09 Years
E. Hazard,30,Belgium,Real Madrid,€52M,Right,7,175cm,74kg,LW,2024,Carlo Ancelotti,2.09 Years
Marco Asensio,25,Spain,Real Madrid,€48M,Left,11,182cm,76kg,CAM,2023,Carlo Ancelotti,2.09 Years
Éder Militão,23,Brazil,Real Madrid,€56.5M,Right,3,186cm,78kg,CB,2025,Carlo Ancelotti,2.09 Years
Dani Ceballos,24,Spain,Real Madrid,€14.5M,Right,19,179cm,68kg,CM,2023,Carlo Ancelotti,2.09 Years
Mariano,27,Dominican Republic,Real Madrid,€6M,Right,24,180cm,76kg,ST,2023,Carlo Ancelotti,2.09 Years
Rodrygo,20,Brazil,Real Madrid,€38.5M,Right,21,174cm,64kg,CAM,2025,Carlo Ancelotti,2.09 Years
20 Lucas Silva,26,Brazil,Real Madrid,€6.5M,Right,29,182cm,80kg,CDM,2020,Carlo Ancelotti,2.09 Years
Vinícius Jr.,20,Brazil,Real Madrid,€46.5M,Right,20,176cm,73kg,RM,2025,Carlo Ancelotti,2.09 Years
L. Jović,23,Serbia,Real Madrid,€27M,Right,16,182cm,85kg,ST,2024,Carlo Ancelotti,2.09 Years
Nacho Fernández,31,Spain,Real Madrid,€17.5M,Right,6,180cm,76kg,CB,2023,Carlo Ancelotti,2.09 Years
14 Pablo,21,Brazil,Real Madrid,€925K,Right,9,185cm,67kg,RW,2015,Carlo Ancelotti,2.09 Years
S. Díaz,22,Paraguay,Real Madrid,€3.1M,Right,36,170cm,68kg,CAM,2022,Carlo Ancelotti,2.09 Years
Vallejo,24,Spain,Real Madrid,€7M,Right,5,184cm,79kg,CB,2024,Carlo Ancelotti,2.09 Years
21 Bruno Iglesias,17,Spain,Real Madrid,€700K,Right,33,179cm,68kg,CM,2021,Carlo Ancelotti,2.09 Years
Miguel,19,Spain,Real Madrid,€1.9M,Left,35,180cm,73kg,LB,2024,Carlo Ancelotti,2.09 Years
Luis Carbonell,18,Spain,Real Madrid,€1.2M,Right,29,169cm,67kg,ST,30-Jun-22,Carlo Ancelotti,2.09 Years
Marvin,21,Spain,Real Madrid,€2.5M,Right,28,178cm,63kg,RW,2022,Carlo Ancelotti,2.09 Years
Arribas,19,Spain,Real Madrid,€1.8M,Left,30,173cm,66kg,CAM,2022,Carlo Ancelotti,2.09 Years
T. Nakai,17,Japan,Real Madrid,€1M,Right,31,178cm,68kg,CAM,2022,Carlo Ancelotti,2.09 Years
21 Sergio Santos,19,Spain,Real Madrid,€475K,Right,40,178cm,72kg,RB,2022,Carlo Ancelotti,2.09 Years
Salazar,18,Spain,Real Madrid,€675K,Right,26,177cm,71kg,ST,2022,Carlo Ancelotti,2.09 Years
T. Courtois,29,Belgium,Real Madrid,€85.5M,Left,1,199cm,96kg,GK,2026,Carlo Ancelotti,2.09 Years
11 J. Dudek,37,Poland,Real Madrid,€ 0,Left,25,187cm,78kg,GK,2011,Carlo Ancelotti,2.09 Years
A. Lunin,22,Ukraine,Real Madrid,€8M,Right,13,192cm,87kg,GK,2024,Carlo Ancelotti,2.09 Years
21 Cañizares,18,Spain,Real Madrid,€900K,Right,42,186cm,81kg,GK,2022,Carlo Ancelotti,2.09 Years
Luis López,20,Spain,Real Madrid,€1M,Right,32,190cm,76kg,GK,2022,Carlo Ancelotti,2.09 Years
Merino,25,Spain,Real Sociedad,€50M,Left,8,189cm,83kg,CM,2025,Imanol Alguacil,2.28 Years
Portu,29,Spain,Real Sociedad,€30M,Right,7,167cm,66kg,RW,2024,Imanol Alguacil,2.28 Years
Zubeldia,24,Spain,Real Sociedad,€24M,Right,5,181cm,73kg,CDM,2024,Imanol Alguacil,2.28 Years
Oyarzabal,24,Spain,Real Sociedad,€77.5M,Left,10,181cm,79kg,LW,2024,Imanol Alguacil,2.28 Years
David Silva,35,Spain,Real Sociedad,€22M,Left,21,173cm,67kg,CAM,2022,Imanol Alguacil,2.28 Years
Illarramendi,31,Spain,Real Sociedad,€12.5M,Right,4,179cm,74kg,CDM,2023,Imanol Alguacil,2.28 Years
Nacho Monreal,35,Spain,Real Sociedad,€6.5M,Left,20,180cm,77kg,LB,2022,Imanol Alguacil,2.28 Years
Diego Rico,28,Spain,Real Sociedad,€2.8M,Left,15,183cm,76kg,LB,2023,Imanol Alguacil,2.28 Years
Zubimendi,22,Spain,Real Sociedad,€12.5M,Right,3,181cm,74kg,CDM,2025,Imanol Alguacil,2.28 Years
Ander Guevara,23,Spain,Real Sociedad,€12M,Right,16,180cm,73kg,CM,2024,Imanol Alguacil,2.28 Years
20 D. Zurutuza,32,France,Real Sociedad,€5M,Right,17,186cm,76kg,CM,2020,Imanol Alguacil,2.28 Years
A. Isak,21,Sweden,Real Sociedad,€45M,Right,19,192cm,77kg,ST,2026,Imanol Alguacil,2.28 Years
A. Januzaj,26,Belgium,Real Sociedad,€28M,Left,11,186cm,76kg,RW,2022,Imanol Alguacil,2.28 Years
18 Xabi Prieto,33,Spain,Real Sociedad,€8.5M,Right,10,187cm,76kg,CM,2018,Imanol Alguacil,2.28 Years
A. Sørloth,25,Norway,Real Sociedad,€10M,Left,23,194cm,90kg,ST,30-Jun-22,Imanol Alguacil,2.28 Years
Aihen Muñoz,23,Spain,Real Sociedad,€8M,Left,12,175cm,68kg,LWB,2022,Imanol Alguacil,2.28 Years
Gorosabel,24,Spain,Real Sociedad,€15M,Right,18,174cm,70kg,RB,2024,Imanol Alguacil,2.28 Years
Zaldúa,29,Spain,Real Sociedad,€9.5M,Right,2,176cm,69kg,RB,2023,Imanol Alguacil,2.28 Years
19 Agirretxe,30,Spain,Real Sociedad,€3.6M,Right,9,187cm,78kg,ST,2020,Imanol Alguacil,2.28 Years
Guridi,26,Spain,Real Sociedad,€4M,Left,14,179cm,64kg,CM,2024,Imanol Alguacil,2.28 Years
Carlos Fernández,25,Spain,Real Sociedad,€8.5M,Left,9,186cm,72kg,ST,2026,Imanol Alguacil,2.28 Years
Aritz Elustondo,27,Spain,Real Sociedad,€18.5M,Right,6,180cm,71kg,CB,2024,Imanol Alguacil,2.28 Years
Barrenetxea,19,Spain,Real Sociedad,€9M,Right,22,175cm,74kg,LW,2027,Imanol Alguacil,2.28 Years
Robert Navarro,19,Spain,Real Sociedad,€2.6M,Right,29,178cm,75kg,CAM,2022,Imanol Alguacil,2.28 Years
21 Z. Thior,22,Senegal,Real Sociedad,€1.3M,Right,28,169cm,57kg,ST,2021,Imanol Alguacil,2.28 Years
R. Le Normand,24,France,Real Sociedad,€19M,Right,24,187cm,81kg,CB,2022,Imanol Alguacil,2.28 Years
15 Iker Hernández,20,Spain,Real Sociedad,€210K,Right,32,189cm,80kg,ST,2016,Imanol Alguacil,2.28 Years
Pacheco,20,Spain,Real Sociedad,€1.8M,Left,26,184cm,77kg,CB,2025,Imanol Alguacil,2.28 Years
M. Ryan,29,Australia,Real Sociedad,€8.5M,Right,13,184cm,82kg,GK,2023,Imanol Alguacil,2.28 Years
Álex Remiro,26,Spain,Real Sociedad,€26M,Right,1,191cm,83kg,GK,2023,Imanol Alguacil,2.28 Years
21 Moyá,36,Spain,Real Sociedad,€1.2M,Right,13,188cm,83kg,GK,2021,Imanol Alguacil,2.28 Years
18 Toño Ramírez,30,Spain,Real Sociedad,€1.1M,Right,13,191cm,86kg,GK,2018,Imanol Alguacil,2.28 Years
N. Barella,24,Italy,Inter,€63.5M,Right,23,172cm,68kg,CM,2024,Simone Inzaghi,1.92 Years
A. Vidal,34,Chile,Inter,€12M,Right,22,180cm,75kg,CM,2022,Simone Inzaghi,1.92 Years
M. Brozović,28,Croatia,Inter,€37M,Right,77,181cm,68kg,CDM,2022,Simone Inzaghi,1.92 Years
A. Kolarov,35,Serbia,Inter,€4.3M,Left,11,187cm,81kg,LB,2022,Simone Inzaghi,1.92 Years
I. Perišić,32,Croatia,Inter,€20.5M,Left,14,186cm,80kg,LM,2022,Simone Inzaghi,1.92 Years
L. Martínez,23,Argentina,Inter,€78M,Right,10,174cm,72kg,ST,2023,Simone Inzaghi,1.92 Years
H. Çalhanoğlu,27,Turkey,Inter,€35M,Right,20,178cm,76kg,CAM,2024,Simone Inzaghi,1.92 Years
17 Felipe Melo,33,Brazil,Inter,€3.8M,Right,83,183cm,80kg,CB,2017,Simone Inzaghi,1.92 Years
A. Sánchez,32,Chile,Inter,€17M,Right,7,168cm,62kg,CF,2023,Simone Inzaghi,1.92 Years
S. Sensi,25,Italy,Inter,€27.5M,Right,12,168cm,62kg,CM,2024,Simone Inzaghi,1.92 Years
M. Vecino,29,Uruguay,Inter,€13.5M,Right,8,187cm,81kg,CM,2022,Simone Inzaghi,1.92 Years
D. D'Ambrosio,32,Italy,Inter,€11.5M,Right,33,180cm,75kg,CB,2022,Simone Inzaghi,1.92 Years
D. Dumfries,25,Netherlands,Inter,€35M,Right,2,188cm,80kg,RB,2025,Simone Inzaghi,1.92 Years
F. Dimarco,23,Italy,Inter,€10.5M,Left,32,175cm,75kg,LWB,2023,Simone Inzaghi,1.92 Years
15 Jonathan,28,Brazil,Inter,€2.5M,Right,2,170cm,72kg,RW,2015,Simone Inzaghi,1.92 Years
C. Eriksen,29,Denmark,Inter,€29.5M,Right,24,181cm,76kg,CM,2024,Simone Inzaghi,1.92 Years
20 Gabriel Barbosa,22,Brazil,Inter,€23.5M,Left,35,178cm,68kg,CF,2024,Simone Inzaghi,1.92 Years
J. Correa,26,Argentina,Inter,€31M,Right,19,189cm,75kg,CAM,30-Jun-22,Simone Inzaghi,1.92 Years
E. Džeko,35,Bosnia and Herzegovina,Inter,€15.5M,Right,9,193cm,80kg,ST,2023,Simone Inzaghi,1.92 Years
M. Darmian,31,Italy,Inter,€10M,Right,36,182cm,70kg,RWB,2024,Simone Inzaghi,1.92 Years
R. Gagliardini,27,Italy,Inter,€10M,Right,5,188cm,77kg,CDM,2023,Simone Inzaghi,1.92 Years
14 C. Chivu,32,Romania,Inter,€1M,Left,26,184cm,81kg,CB,2014,Simone Inzaghi,1.92 Years
14 J. Zanetti,39,Argentina,Inter,€1K,Right,4,178cm,75kg,CDM,2014,Simone Inzaghi,1.92 Years
S. de Vrij,29,Netherlands,Inter,€45M,Right,6,189cm,78kg,CB,2023,Simone Inzaghi,1.92 Years
M. Škriniar,26,Slovakia,Inter,€74M,Right,37,188cm,80kg,CB,2023,Simone Inzaghi,1.92 Years
A. Bastoni,22,Italy,Inter,€44.5M,Left,95,190cm,75kg,CB,2024,Simone Inzaghi,1.92 Years
19 A. Gnoukouri,20,Côte d'Ivoire,Inter,€1.3M,Right,31,180cm,71kg,CDM,2020,Simone Inzaghi,1.92 Years
12 I. Córdoba,34,Colombia,Inter,€1.2M,Right,2,173cm,73kg,CB,2012,Simone Inzaghi,1.92 Years
21 S. Longo,28,Italy,Inter,€1.2M,Right,90,186cm,78kg,ST,2021,Simone Inzaghi,1.92 Years
21 A. Bakayoko,22,France,Inter,€1.3M,Right,42,179cm,69kg,RM,2021,Simone Inzaghi,1.92 Years
X. Emmers,20,Belgium,Inter,€875K,Right,81,178cm,72kg,CAM,2022,Simone Inzaghi,1.92 Years
F. Colidio,21,Argentina,Inter,€1.9M,Right,49,179cm,68kg,CAM,2023,Simone Inzaghi,1.92 Years
16 N. Vidić,33,Serbia,Inter,€7.5M,Right,15,190cm,88kg,CB,2016,Simone Inzaghi,1.92 Years
M. Satriano,20,Uruguay,Inter,€2.3M,Right,48,187cm,75kg,ST,2024,Simone Inzaghi,1.92 Years
09 Figo,35,Portugal,Inter,€ 0,Right,7,180cm,75kg,CF,2009,Simone Inzaghi,1.92 Years
A. Ranocchia,33,Italy,Inter,€2M,Right,13,195cm,81kg,CB,2022,Simone Inzaghi,1.92 Years
S. Handanovič,36,Slovenia,Inter,€7.5M,Right,1,193cm,92kg,GK,2022,Simone Inzaghi,1.92 Years
I. Radu,24,Romania,Inter,€7M,Right,97,188cm,78kg,GK,2024,Simone Inzaghi,1.92 Years
19 R. Di Gennaro,24,Italy,Inter,€675K,Right,93,188cm,80kg,GK,2020,Simone Inzaghi,1.92 Years
21 T. Berni,37,Italy,Inter,€60K,Right,46,185cm,80kg,GK,2020,Simone Inzaghi,1.92 Years
A. Cordaz,38,Italy,Inter,€250K,Right,21,188cm,83kg,GK,2022,Simone Inzaghi,1.92 Years
Gabriel Brazão,20,Brazil,Inter,€1.6M,Right,91,192cm,85kg,GK,2024,Simone Inzaghi,1.92 Years
J. Cuadrado,33,Colombia,Juventus,€19M,Right,11,179cm,72kg,RB,2022,Massimiliano Allegri,UEFA Pro Licence
J. Cuadrado,33,Colombia,Juventus,€19M,Right,11,179cm,72kg,RB,2022,Massimiliano Allegri,UEFA Pro Licence
19 C. Marchisio,31,Italy,Juventus,€19.5M,Right,8,180cm,74kg,CM,2020,Massimiliano Allegri,UEFA Pro Licence
19 C. Marchisio,31,Italy,Juventus,€19.5M,Right,8,180cm,74kg,CM,2020,Massimiliano Allegri,UEFA Pro Licence
W. McKennie,22,United States,Juventus,€16M,Right,14,183cm,84kg,CB,2025,Massimiliano Allegri,UEFA Pro Licence
W. McKennie,22,United States,Juventus,€16M,Right,14,183cm,84kg,CB,2025,Massimiliano Allegri,UEFA Pro Licence
Arthur,24,Brazil,Juventus,€47M,Right,5,171cm,73kg,CM,2024,Massimiliano Allegri,UEFA Pro Licence
Arthur,24,Brazil,Juventus,€47M,Right,5,171cm,73kg,CM,2024,Massimiliano Allegri,UEFA Pro Licence
Alex Sandro,30,Brazil,Juventus,€31.5M,Left,12,180cm,80kg,LB,2023,Massimiliano Allegri,UEFA Pro Licence
Alex Sandro,30,Brazil,Juventus,€31.5M,Left,12,180cm,80kg,LB,2023,Massimiliano Allegri,UEFA Pro Licence
A. Rabiot,26,France,Juventus,€30M,Left,25,192cm,80kg,CM,2023,Massimiliano Allegri,UEFA Pro Licence
A. Rabiot,26,France,Juventus,€30M,Left,25,192cm,80kg,CM,2023,Massimiliano Allegri,UEFA Pro Licence
P. Dybala,27,Argentina,Juventus,€93M,Left,10,177cm,75kg,CAM,2022,Massimiliano Allegri,UEFA Pro Licence
P. Dybala,27,Argentina,Juventus,€93M,Left,10,177cm,75kg,CAM,2022,Massimiliano Allegri,UEFA Pro Licence
Danilo,29,Brazil,Juventus,€22.5M,Right,6,184cm,78kg,RB,2024,Massimiliano Allegri,UEFA Pro Licence
Danilo,29,Brazil,Juventus,€22.5M,Right,6,184cm,78kg,RB,2024,Massimiliano Allegri,UEFA Pro Licence
M. Locatelli,23,Italy,Juventus,€42M,Right,27,185cm,75kg,CM,2023,Massimiliano Allegri,UEFA Pro Licence
M. Locatelli,23,Italy,Juventus,€42M,Right,27,185cm,75kg,CM,2023,Massimiliano Allegri,UEFA Pro Licence
R. Bentancur,24,Uruguay,Juventus,€21M,Right,30,187cm,78kg,CDM,2024,Massimiliano Allegri,UEFA Pro Licence
R. Bentancur,24,Uruguay,Juventus,€21M,Right,30,187cm,78kg,CDM,2024,Massimiliano Allegri,UEFA Pro Licence
F. Bernardeschi,27,Italy,Juventus,€18.5M,Left,20,185cm,77kg,CAM,2022,Massimiliano Allegri,UEFA Pro Licence
F. Bernardeschi,27,Italy,Juventus,€18.5M,Left,20,185cm,77kg,CAM,2022,Massimiliano Allegri,UEFA Pro Licence
D. Kulusevski,21,Sweden,Juventus,€58M,Left,44,186cm,75kg,LM,2024,Massimiliano Allegri,UEFA Pro Licence
D. Kulusevski,21,Sweden,Juventus,€58M,Left,44,186cm,75kg,LM,2024,Massimiliano Allegri,UEFA Pro Licence
A. Ramsey,30,Wales,Juventus,€20M,Right,8,183cm,76kg,CM,2023,Massimiliano Allegri,UEFA Pro Licence
A. Ramsey,30,Wales,Juventus,€20M,Right,8,183cm,76kg,CM,2023,Massimiliano Allegri,UEFA Pro Licence
F. Chiesa,23,Italy,Juventus,€80.5M,Right,22,175cm,70kg,CAM,1-Jun-22,Massimiliano Allegri,UEFA Pro Licence
F. Chiesa,23,Italy,Juventus,€80.5M,Right,22,175cm,70kg,CAM,1-Jun-22,Massimiliano Allegri,UEFA Pro Licence
M. de Ligt,21,Netherlands,Juventus,€75M,Right,4,189cm,89kg,CB,2024,Massimiliano Allegri,UEFA Pro Licence
M. de Ligt,21,Netherlands,Juventus,€75M,Right,4,189cm,89kg,CB,2024,Massimiliano Allegri,UEFA Pro Licence
L. Bonucci,34,Italy,Juventus,€17.5M,Right,19,190cm,85kg,CB,2024,Massimiliano Allegri,UEFA Pro Licence
L. Bonucci,34,Italy,Juventus,€17.5M,Right,19,190cm,85kg,CB,2024,Massimiliano Allegri,UEFA Pro Licence
14 M. Vučinić,29,Montenegro,Juventus,€5.5M,Right,9,186cm,76kg,CAM,2015,Massimiliano Allegri,UEFA Pro Licence
14 M. Vučinić,29,Montenegro,Juventus,€5.5M,Right,9,186cm,76kg,CAM,2015,Massimiliano Allegri,UEFA Pro Licence
Morata,28,Spain,Juventus,€37M,Right,9,190cm,84kg,ST,30-Jun-22,Massimiliano Allegri,UEFA Pro Licence
Morata,28,Spain,Juventus,€37M,Right,9,190cm,84kg,ST,30-Jun-22,Massimiliano Allegri,UEFA Pro Licence
M. De Sciglio,28,Italy,Juventus,€7M,Right,2,182cm,78kg,RB,2022,Massimiliano Allegri,UEFA Pro Licence
M. De Sciglio,28,Italy,Juventus,€7M,Right,2,182cm,78kg,RB,2022,Massimiliano Allegri,UEFA Pro Licence
M. Kean,21,Italy,Juventus,€39.5M,Right,18,182cm,72kg,ST,30-Jun-23,Massimiliano Allegri,UEFA Pro Licence
M. Kean,21,Italy,Juventus,€39.5M,Right,18,182cm,72kg,ST,30-Jun-23,Massimiliano Allegri,UEFA Pro Licence
G. Chiellini,36,Italy,Juventus,€12M,Left,3,187cm,85kg,CB,2023,Massimiliano Allegri,UEFA Pro Licence
G. Chiellini,36,Italy,Juventus,€12M,Left,3,187cm,85kg,CB,2023,Massimiliano Allegri,UEFA Pro Licence
L. Pellegrini,22,Italy,Juventus,€9M,Left,17,178cm,72kg,LB,2023,Massimiliano Allegri,UEFA Pro Licence
L. Pellegrini,22,Italy,Juventus,€9M,Left,17,178cm,72kg,LB,2023,Massimiliano Allegri,UEFA Pro Licence
N. Fagioli,20,Italy,Juventus,€2.9M,Right,34,178cm,72kg,CAM,2023,Massimiliano Allegri,UEFA Pro Licence
